No.;Data perangkat;Unit;Merk;Tipe;S/N;Lokasi;Data Pemeliharaan;IP
;Thermal printer;1;Epson;TM-L500a;UC3F001093;Island D17;;172.17.176.27
;Thermal printer;1;Epson;TM-L500a;UC3F001163;Island D18;;172.17.176.28
;Thermal printer;1;Epson;TM-L500a;UC3F001226;Island D19;;172.17.176.29
;Thermal printer;1;Epson;TM-L500a;UC3F001130;Island D20;;172.17.176.30
;Thermal printer;1;Epson;TM-L500a;UC3F001098;Island D21;;172.17.176.31
;Thermal printer;1;Epson;TM-L500a;UC3F001149;Island D22;;172.17.176.32
;Thermal printer;1;Epson;TM-L500a;UC3F001161;Island D23;;172.17.176.33
;Thermal printer;1;Epson;TM-L500a;UC3F001146;Island D24;;172.17.176.34
;Thermal printer;1;Epson;TM-L500a;UC4F001085;Island D25;;172.17.176.35
;Thermal printer;1;Epson;TM-L500a;UC3F001004;Island E1;;172.17.176.41
;Thermal printer;1;Epson;TM-L500a;NZ4F003172;Island E2;;172.17.176.42
;Thermal printer;1;Epson;TM-L500a;UC3F000987;Island E3;;172.17.176.43
;Thermal printer;1;Epson;TM-L500a;UC3F001152;Island E4;;172.17.176.44
;Thermal printer;1;Epson;TM-L500a;UC3F001134;Island E5;;172.17.176.45
;Thermal printer;1;Epson;TM-L500a;UC3F001184;Island E6;;172.17.176.46
;Thermal printer;1;Epson;TM-L500a;UC3F001160;Island E7;;172.17.176.47
;Thermal printer;1;Epson;TM-L500a;UC3F001186;Island E8;;172.17.176.48
;Thermal printer;1;Epson;TM-L500a;UC3F001138;Island E9;;172.17.176.49
;Thermal printer;1;Epson;TM-L500a;UC3F001187;Island E10;;172.17.176.50
;Thermal printer;1;Epson;TM-L500a;UC3F001102;Island E11;;172.17.176.51
;Thermal printer;1;Epson;TM-L500a;UC3F001135;Island E12;;172.17.176.52
;Thermal printer;1;Epson;TM-L500a;UC3F001171;Island E14;;172.17.176.54
;Thermal printer;1;Epson;TM-L500a;UC3F000989;Island E15;;172.17.176.55
;Thermal printer;1;Epson;TM-L500a;UC3F001137;Island E16;;172.17.176.56
;Thermal printer;1;Epson;TM-L500a;UC3F001088;Island E17;;172.17.176.57
;Thermal printer;1;Epson;TM-L500a;UC3F001155;Island E18;;172.17.176.58
;Thermal printer;1;Epson;TM-L500a;UC3F001092;Island E19;;172.17.176.59
;Thermal printer;1;Epson;TM-L500a;UC3F001143;Island E20;;172.17.176.60
;Thermal printer;1;Epson;TM-L500a;UC3F001122;Island E21;;172.17.176.61
;Thermal printer;1;Epson;TM-L500a;UC3F001151;Island E22;;172.17.176.62
;Thermal printer;1;Epson;TM-L500a;UC3F001172;Island E23;;172.17.176.63
;Thermal printer;1;Epson;TM-L500a;UC3F001133;Island E24;;172.17.176.64
