,Data perangkat,Unit,Merk,Tipe,S/N,Lokasi,Data Pemeliharaan,IP
,Printer Bpass,1,Zebra,GC 420d,53J134500639,CHECKIN 5 INTER,,
,Printer Bpass,1,Zebra,GC 420d,53J144101102,CHECKIN 6 INTER,,
,Printer Bpass,1,Zebra,GC 420d,53J154200447,CHECKIN 7,,
,Printer Bpass,1,Zebra,GC 420d,53J153901515,CHECKIN 8,,
,Printer Bpass,1,Zebra,GC 420d,53J154200391,CHECKIN 9,,
,Printer Bpass,1,Zebra,GC 420d,53J154200427,CHECKIN 10,,
,Printer Bpass,1,Zebra,GC 420d,53J134500626,GUDANG (Spare),,
,Printer Bpass,1,Zebra,GC 420d,53J154200459,GUDANG (Spare),,
,Printer Bpass,1,Zebra,GC 420d,53J154200345,GUDANG (Spare),,
,Printer Bpass,1,Zebra,GC 420d,53J153101414,GUDANG (Spare),,
,Printer Bpass,1,Zebra,GC 420d,53J154200449,GUDANG (Spare),,
14,Bagtag printer,1,Zebra ,G420d,53J142900929,CHECKIN 1,,
,Bagtag printer,1,Zebra ,G420d,53J134500651,CHECKIN 2,,
,Bagtag printer,1,Zebra ,G420d,53J142901093,CHECKIN 3,,
,Bagtag printer,1,Zebra ,G420d,53J142901265,CHECKIN 4,,
,Bagtag printer,1,Zebra ,G420d,53J140901475,CHECKIN 5,,
,Bagtag printer,1,Zebra ,G420d,53J142900996,CHECKIN 6,,
,Bagtag printer,1,Zebra ,G420d,53J142900949,CHECKIN 7,,
,Bagtag printer,1,Zebra ,G420d,53J142900920,CHECKIN 8,,
,Bagtag printer,1,Zebra ,G420d,53J140901479,CHECKIN 9,,
,Bagtag printer,1,Zebra ,G420d,53J134800907,CHECKIN 10,,
,Bagtag printer,1,Zebra ,G420d,53J134702517,CHECKIN 11,,
,Bagtag printer,1,Zebra ,G420d,53J134800936,CHECKIN 12,,
,Bagtag printer,1,Zebra ,G420d,53J134702509,CHECKIN 13,,
,Bagtag printer,1,Zebra ,G420d,53J131400859,CHECKIN 14,,
,Bagtag printer,1,Zebra ,G420d,53J134702517,CHECKIN 15,,
,Bagtag printer,1,Zebra ,G420d,53J134800907,CHECKIN 16,,
,Bagtag printer,1,Zebra ,G420d,53J154200470,CHECKIN 1 INTER,,
,Bagtag printer,1,Zebra ,G420d,53J134500642,CHECKIN 2 INTER,,
,Bagtag printer,1,Zebra ,G420d,53J134500641,CHECKIN 3 INTER,,
,Bagtag printer,1,Zebra ,G420d,53J134702493,CHECKIN 4 INTER,,
,Bagtag printer,1,Zebra ,G420d,53J154200470,CHECKIN 5 INTER,,
,Bagtag printer,1,Zebra ,G420d,53J143900557,CHECKIN 6 INTER,,
,Bagtag printer,1,Zebra ,G420d,53J140901467,OFFICE ,Hasil Cetak Buram,
,Bagtag printer,1,Zebra ,G420d,53J151602251,CHECKIN 7,,
,Bagtag printer,1,Zebra ,G420d,53J154200393,CHECKIN 8,,
,Bagtag printer,1,Zebra ,G420d,53J154200369,CHECKIN 9,,
,Bagtag printer,1,Zebra ,G420d,53J154200299,CHECKIN 10,,
,Bagtag printer,1,Zebra ,G420d,53J153101267,GUDANG (Spare),,
,Bagtag printer,1,Zebra ,G420d,53J154200444,GUDANG (Spare),,
,Bagtag printer,1,Zebra ,G420d,53J154200386,GUDANG (Spare),,
,Bagtag printer,1,Zebra ,G420d,53J151602254,GUDANG (Spare),,
15,UPS 600VA,1,Pascal,600VA,WLH60AA2017,KIOS AUTOGATE ,,
,UPS 600VA,1,Pascal,600VA,WLF60AF139,KIOS AUTOGATE ,,
,UPS 600VA,1,Pascal,600VA,WLF60AF136,KIOS AUTOGATE ,,
,UPS 600VA,1,Pascal,600VA,WLC60AB501,GUDANG,,
,UPS 600VA,1,Pascal,600VA,WLC60AB503,GUDANG,,
,UPS 600VA,1,Pascal,600VA,WLC60AB488,GUDANG,,
,UPS 600VA,1,Pascal,600VA,WLC60AB506,GUDANG,,
,UPS 600VA,1,Pascal,600VA,WLC60AB489,GUDANG,,
,UPS 600VA,1,Pascal,600VA,,GUDANG,,
,UPS 600VA,1,Pascal,600VA,WLD60AB572,OFFICE,,
,UPS 600VA,1,Pascal,600VA,WLH60AA2016,KIOS SELF CHECKIN,,
,UPS 600VA,1,Pascal,600VA,WLC60AB503,KIOS SELF CHECKIN,,
,UPS 1500VA,1,APC,1500VA,3B1426X 12918,CHECKIN 1,,
,UPS 1500VA,1,APC,1500VA,3B1428X 10919,CHECKIN 2,,
,UPS 1500VA,1,APC,1500VA,3B1417X 24238,CHECKIN 3,,
,UPS 1500VA,1,APC,1500VA,3B1428X 10930,OFFICE,Baterai Bocor,
,UPS 1500VA,1,APC,1500VA,3B1428X 10909,CHECKIN 5,,
,UPS 1500VA,1,APC,1500VA,3B1426X 13218,CHECKIN 6,,
,UPS 1500VA,1,APC,1500VA,3B1428X 10915,CHECKIN 7,,
,UPS 1500VA,1,APC,1500VA,3B1428X 10897,CHECKIN 8,,
,UPS 1500VA,1,APC,1500VA,3B1428X 10904,CHECKIN 9,,
,UPS 1500VA,1,APC,1500VA,3B1428X 10903,CHECKIN 10,,
,UPS 1500VA,1,APC,1500VA,3B1428X 10758,CHECKIN 11,,
,UPS 1500VA,1,APC,1500VA,3B1428X 10907,CHECKIN 12,,
,UPS 1500VA,1,APC,1500VA,3B1428X 10949,CHECKIN 13,,
,UPS 1500VA,1,APC,1500VA,3B1428X 10902,CHECKIN 14,,
,UPS 1500VA,1,APC,1500VA,3B1428X 10940,CHECKIN 15,,
,UPS 1500VA,1,APC,1500VA,3B1428X 10946,CHECKIN 16,,
,UPS 1500VA,1,APC,1500VA,3B1428X 10908,TRANSIT COUNTER,,
,UPS 1500VA,1,APC,1500VA,3B1428X 10927,GATE 3 - INTER,,
,UPS 1500VA,1,APC,1500VA,3B1428X 10905,GATE 4B - DOMESTIK,,
,UPS 1500VA,1,APC,1500VA,3B1428X 10931,GATE 5B - DOMESTIK,,
,UPS 1500VA,1,APC,1500VA,3B1418X 27204,GATE INTER,,
,UPS 1500VA,1,APC,1500VA,3B1428X 10953,OFFICE,,
,UPS 1500VA,1,EMERSON,1500VA,1611200228PS27M,CHECKIN B1 ( Internasional ),Penambahan Baru,
,UPS 1500VA,1,EMERSON,1500VA,1611200222PS27M,CHECKIN B2 ( Internasional ),Penambahan Baru,
,UPS 1500VA,1,EMERSON,1500VA,1611200134PS27M,CHECKIN B3 ( Internasional ),Penambahan Baru,
,UPS 1500VA,1,EMERSON,1500VA,1611200239PS27M,CHECKIN B4 ( Internasional ),Penambahan Baru,
,UPS 1500VA,1,EMERSON,1500VA,1611200240PS27M,CHECKIN B5 ( Internasional ),Penambahan Baru,
,UPS 1500VA,1,EMERSON,1500VA,1611200220PS27M,CHECKIN B6 ( Internasional ),Penambahan Baru,
,UPS 1500VA,1,EMERSON,1500VA,1611200121PS27M,CHECKIN B7 ( Internasional ),Penambahan Baru,
,UPS 1500VA,1,EMERSON,1500VA,161120024PS27M,CHECKIN B8 ( Internasional ),Penambahan Baru,
,UPS 1500VA,1,EMERSON,1500VA,161120026PS27M,CHECKIN B9 ( Internasional ),Penambahan Baru,
,UPS 1500VA,1,EMERSON,1500VA,161120021PS27M,CHECKIN B10 ( Internasional ),Penambahan Baru,
,UPS 1500VA,1,EMERSON,1500VA,1611200238PS27M,GATE A1 ( Internasional ),Penambahan Baru,
,UPS 1500VA,1,EMERSON,1500VA,1611200131PS27M,GATE B1 ( Internasional ),Penambahan Baru,
,UPS 1500VA,1,EMERSON,1500VA,1611200219PS27M,GATE A2 ( Internasional ),Penambahan Baru,
,UPS 1500VA,1,EMERSON,1500VA,1611200122PS27M,GATE B2 ( Internasional ),Penambahan Baru,
,UPS 3000 VA,1,APC,AS1427134146,,RACK SERVER,,
,UPS 3000 VA,1,APC,AS1426235339,,RACK SERVER,,
,,,,,,,,
,,,,,,,,
17,Automatic Gate + kios,1,,,,SCP 2 Depan XRAY Ruang tunggu Internasional,,
,Automatic Gate + kios,1,,,,SCP 2 Depan XRAY Ruang tunggu Internasional,,
,Automatic Gate + kios,1,,,,SCP 2 Depan XRAY Ruang tunggu Internasional,,
,Automatic Gate + kios,1,,,,OFFICE,,
,Automatic Gate + kios,1,,,,OFFICE,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
18,ROUTER ,1,ZTE,ONT TELKOM,LQ24B9X00218,OFFICE (Eks terminal Lama ),,
,ROUTER ,1,POWER DSINE ,XL,R10236050025543801,OFFICE (Eks terminal Lama ),,
,,,,,,,,
19,HUB,1,DLINK 8 Port,QBID2E4001391,OFFICE,,,
,,,,,,,,
20,HT,1,MOTOROLA,GP328,672TQLP068,OFFICE,,
,HT,1,MOTOROLA,GP328,672TQLP080,OFFICE,,
21,RAFSBERRY,2,OFFICE,,,,,
,,,,,,,,
,,,,,,,,
22,VACUM CLEANER,1,DEENPO,,,OFFICE,,
,,,,,,,,
23,KABEL FO 15 Meter,1,NETVIEL,,,OFFICE,,
,KABEL FO 30 Meter,1,NETVIEL,,,OFFICE,,
,,,,,,,,
,,,,,,,,
24,WALL MOUNT 12U,1,,,,OFFICE,,
,,,,,,,,
25,FLASHDISK  ,1,SANDISK 128 GB,,,GUDANG,,
,,,,,,,,
26,KABEL LAN CATEGORY 6,"1,5 ROLL",TE CONNECTIVITY,,,OFFICE,,
,,,,,,,,
27,KIOS SELF CHECKIN,1,,,,,,192.168..8.40
,KIOS SELF CHECKIN,1,,,,,,192.168.8.39
28,DVD ROM EKSTERNAL,1,SAMSUNG,,,OFFICE,,
